field.header.stamp,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z
1624346208,278.496957,181.195364,-50.27933265,1,-2.044677734,1.037597656,-0.915527344,-0.41796875,-0.741699219,0.509033203
1624346211,276.8892132,179.9407967,-51.83436355,1,-1.983642578,1.037597656,-0.610351563,-0.420166016,-0.739990234,0.510498047
1624346214,275.9960222,182.2707074,-50.27933265,1,-1.983642578,0.793457031,-0.946044922,-0.416015625,-0.741699219,0.510742188
1624346216,278.496957,180.8369162,-51.31601992,1,-1.892089844,1.007080078,-0.640869141,-0.420654297,-0.74609375,0.500244141
1624346219,277.2464896,180.2992445,-51.48880113,1,-2.014160156,0.610351563,-0.701904297,-0.418945313,-0.742919922,0.5078125
1624346222,277.4251278,180.1200206,-49.5882078,1,-1.953125,0.762939453,-0.610351563,-0.419189453,-0.743896484,0.506103516
1624346224,276.710575,182.6291552,-50.27933265,1,-2.044677734,0.762939453,-0.610351563,-0.416503906,-0.742919922,0.504394531
1624346227,277.0678514,180.1200206,-50.62489507,1,-2.075195313,0.946044922,-1.037597656,-0.416503906,-0.743164063,0.508544922
1624346230,276.8892132,180.6576923,-51.83436355,1,-2.044677734,0.9765625,-0.549316406,-0.419921875,-0.743652344,0.507568359
1624346233,277.2464896,182.4499313,-51.48880113,1,-2.014160156,0.732421875,-0.518798828,-0.420654297,-0.744384766,0.506347656
1624346235,277.4251278,181.195364,-51.31601992,1,-1.983642578,0.671386719,-0.640869141,-0.416259766,-0.741210938,0.509765625
1624346238,278.1396806,181.195364,-50.62489507,1,-2.044677734,0.671386719,-0.671386719,-0.417236328,-0.741455078,0.507568359
1624346241,277.2464896,181.3745879,-52.17992598,1,-1.953125,0.915527344,-0.823974609,-0.423583984,-0.744873047,0.506591797
1624346243,278.6755952,182.4499313,-50.79767628,1,-1.922607422,0.946044922,-0.549316406,-0.417480469,-0.742675781,0.504150391
1624346246,276.8892132,181.0161401,-51.14323871,1,-1.953125,0.732421875,-0.732421875,-0.418945313,-0.741699219,0.503662109
1624346249,277.4251278,181.5538118,-50.62489507,1,-1.983642578,0.915527344,-0.915527344,-0.416259766,-0.742431641,0.5078125
1624346251,278.6755952,182.0914835,-50.79767628,1,-2.044677734,0.793457031,-0.701904297,-0.415771484,-0.743652344,0.5078125
1624346254,277.7824042,181.9122596,-51.66158234,1,-2.105712891,0.885009766,-0.701904297,-0.416992188,-0.739746094,0.509765625
1624346257,278.3183188,182.4499313,-51.48880113,1,-1.983642578,0.701904297,-0.732421875,-0.415283203,-0.744140625,0.506347656
1624346259,279.5687862,181.5538118,-52.00714476,1,-1.708984375,0.915527344,-0.732421875,-0.422363281,-0.744140625,0.503662109
1624346262,278.8542334,181.9122596,-52.35270719,1,-2.044677734,0.640869141,-0.885009766,-0.4140625,-0.742431641,0.509033203
1624346265,276.710575,180.4784684,-52.00714476,1,-2.044677734,0.885009766,-0.671386719,-0.413330078,-0.744140625,0.508300781
1624346267,280.1047009,181.3745879,-52.5254884,1,-1.953125,0.885009766,-0.732421875,-0.41796875,-0.743652344,0.503662109
1624346270,277.9610424,181.7330357,-52.17992598,1,-1.739501953,1.037597656,-0.701904297,-0.415283203,-0.742919922,0.504150391
1624346273,277.9610424,182.0914835,-51.83436355,1,-2.044677734,0.823974609,-0.671386719,-0.417236328,-0.745849609,0.5078125
1624346276,278.496957,181.195364,-51.66158234,1,-1.892089844,0.9765625,-0.732421875,-0.416503906,-0.743652344,0.508544922
1624346278,277.603766,182.8083791,-50.79767628,1,-2.044677734,0.915527344,-0.579833984,-0.421386719,-0.745117188,0.505126953
1624346281,277.4251278,181.195364,-51.66158234,1,-2.014160156,1.068115234,-0.549316406,-0.414794922,-0.741943359,0.506347656
1624346284,278.496957,181.9122596,-52.35270719,1,-1.953125,0.823974609,-0.518798828,-0.417236328,-0.740234375,0.509033203
1624346286,278.6755952,183.1668269,-51.48880113,1,-2.319335938,0.640869141,-0.671386719,-0.416748047,-0.742431641,0.505371094
1624346289,278.496957,180.4784684,-50.62489507,1,-1.983642578,0.762939453,-0.915527344,-0.417236328,-0.742675781,0.511230469
1624346292,279.0328716,182.0914835,-50.79767628,1,-2.014160156,0.854492188,-0.671386719,-0.420166016,-0.743896484,0.508056641
1624346294,276.8892132,181.3745879,-51.83436355,1,-2.166748047,0.915527344,-0.518798828,-0.413330078,-0.743896484,0.506591797
1624346297,277.4251278,182.6291552,-52.00714476,1,-1.892089844,0.762939453,-0.732421875,-0.416992188,-0.744140625,0.513183594
1624346300,277.7824042,181.5538118,-53.04383204,1,-2.014160156,0.885009766,-0.671386719,-0.417236328,-0.743652344,0.50390625
1624346302,278.6755952,181.3745879,-51.48880113,1,-2.075195313,0.762939453,-0.732421875,-0.416748047,-0.742919922,0.507080078
1624346305,278.496957,181.5538118,-50.62489507,1,-1.800537109,0.946044922,-0.732421875,-0.421630859,-0.745605469,0.509033203
1624346308,276.3532986,181.5538118,-52.35270719,1,-1.708984375,1.312255859,-0.701904297,-0.416748047,-0.745361328,0.503417969
1624346311,278.3183188,182.8083791,-51.83436355,1,-1.953125,0.854492188,-0.671386719,-0.417724609,-0.744628906,0.504882813
1624346313,277.9610424,181.3745879,-52.87105082,1,-1.892089844,0.640869141,-0.885009766,-0.412841797,-0.745605469,0.506103516
1624346316,278.8542334,181.5538118,-51.66158234,1,-2.166748047,0.823974609,-0.793457031,-0.416259766,-0.746337891,0.501220703
1624346319,277.7824042,181.5538118,-50.97045749,1,-1.983642578,0.854492188,-0.823974609,-0.418945313,-0.743408203,0.500976563
1624346321,278.1396806,180.4784684,-50.97045749,1,-2.105712891,0.793457031,-0.732421875,-0.412841797,-0.742431641,0.498779297
